keap1_mutant,oof_probability
1.000000000000000000e+00,1.967190979981611187e-01
0.000000000000000000e+00,1.896333953812620876e-01
0.000000000000000000e+00,7.018839851996433454e-02
0.000000000000000000e+00,1.596345428499442720e-01
0.000000000000000000e+00,2.340210373683110356e-01
0.000000000000000000e+00,4.780235251918318329e-01
0.000000000000000000e+00,1.969918729455345796e-01
0.000000000000000000e+00,1.747543819130265574e-01
0.000000000000000000e+00,1.747045434968835798e-01
0.000000000000000000e+00,2.395712990966771816e-01
0.000000000000000000e+00,1.972929255698148143e-01
0.000000000000000000e+00,1.822221361800959727e-01
0.000000000000000000e+00,1.955801954362014206e-01
0.000000000000000000e+00,2.223163381127458427e-01
1.000000000000000000e+00,2.003977978305539198e-01
0.000000000000000000e+00,1.910574491318616508e-01
0.000000000000000000e+00,1.654244955149242746e-01
0.000000000000000000e+00,1.230215000560601207e-01
0.000000000000000000e+00,1.858124039054227794e-01
0.000000000000000000e+00,1.649493901673973473e-01
0.000000000000000000e+00,2.141484024723830648e-01
0.000000000000000000e+00,1.850680207585430059e-01
0.000000000000000000e+00,1.772036848655546004e-01
1.000000000000000000e+00,4.330624323844727841e-01
1.000000000000000000e+00,3.946762722318351568e-01
0.000000000000000000e+00,1.666691625389223608e-01
0.000000000000000000e+00,2.781630278650648047e-01
0.000000000000000000e+00,9.551883375628952844e-02
0.000000000000000000e+00,6.349464591657907886e-02
0.000000000000000000e+00,1.805544853166415054e-01
1.000000000000000000e+00,2.175232819426860809e-01
0.000000000000000000e+00,1.783673578525510062e-01
0.000000000000000000e+00,1.947475468186120606e-01
0.000000000000000000e+00,1.940448574844127749e-01
0.000000000000000000e+00,1.208277070706391398e-01
0.000000000000000000e+00,1.898681597632377871e-01
0.000000000000000000e+00,1.994547556461838678e-01
0.000000000000000000e+00,1.671685592652659424e-01
0.000000000000000000e+00,2.106193583922712498e-01
0.000000000000000000e+00,1.874453384116277488e-01
0.000000000000000000e+00,1.149381437440270687e-01
1.000000000000000000e+00,2.787768899742472106e-01
1.000000000000000000e+00,2.413457490295955743e-01
1.000000000000000000e+00,1.680947890678655965e-01
0.000000000000000000e+00,1.756849095246154902e-01
0.000000000000000000e+00,1.742303639809404114e-01
1.000000000000000000e+00,2.029016036083882701e-01
0.000000000000000000e+00,2.400020804454082446e-01
0.000000000000000000e+00,1.908992280679528419e-01
0.000000000000000000e+00,1.734238710095767078e-01
0.000000000000000000e+00,1.933190719048740736e-01
0.000000000000000000e+00,6.579055483119959635e-02
0.000000000000000000e+00,1.983503597828603360e-01
0.000000000000000000e+00,1.756219326848083573e-01
0.000000000000000000e+00,1.953050493211171412e-01
1.000000000000000000e+00,4.543016229152850305e-01
0.000000000000000000e+00,1.775753124944523809e-01
0.000000000000000000e+00,1.950166120540341996e-01
0.000000000000000000e+00,4.138736527624878869e-01
0.000000000000000000e+00,2.083838456222897317e-02
0.000000000000000000e+00,1.853846929055573411e-01
0.000000000000000000e+00,1.661890357864542755e-01
1.000000000000000000e+00,5.085014812511995386e-01
0.000000000000000000e+00,1.736755824144090021e-01
0.000000000000000000e+00,1.684922156175344132e-01
1.000000000000000000e+00,4.546244421317147677e-01
0.000000000000000000e+00,1.658396453038946394e-01
0.000000000000000000e+00,1.925200895965662184e-01
0.000000000000000000e+00,3.483575667249855234e-02
0.000000000000000000e+00,1.776366419912866201e-01
0.000000000000000000e+00,1.699661745726325224e-01
1.000000000000000000e+00,5.591612863746330264e-01
0.000000000000000000e+00,1.672118682994622740e-01
0.000000000000000000e+00,1.747133656882391972e-01
1.000000000000000000e+00,3.444326808150421915e-01
0.000000000000000000e+00,1.965199768487326804e-01
0.000000000000000000e+00,1.930741023696068703e-01
0.000000000000000000e+00,2.232748612639567365e-01
0.000000000000000000e+00,1.943790959564689058e-01
0.000000000000000000e+00,1.963061571424006557e-01
0.000000000000000000e+00,1.669562923802987708e-01
1.000000000000000000e+00,9.890788950976872052e-01
0.000000000000000000e+00,3.285767507328370973e-01
0.000000000000000000e+00,1.678832610709984630e-01
0.000000000000000000e+00,1.776764290933311174e-01
0.000000000000000000e+00,1.825177635600541137e-01
0.000000000000000000e+00,2.073008475873630296e-01
0.000000000000000000e+00,4.214228743055648541e-01
0.000000000000000000e+00,1.638550764397159187e-01
0.000000000000000000e+00,1.699679858967020341e-01
1.000000000000000000e+00,1.868503650277766326e-01
0.000000000000000000e+00,1.699123197324702850e-01
0.000000000000000000e+00,1.637429424887134888e-01
0.000000000000000000e+00,1.351033452673963131e-01
0.000000000000000000e+00,2.347601298909967327e-01
0.000000000000000000e+00,1.307688853441061894e-01
0.000000000000000000e+00,2.191270793949799123e-01
0.000000000000000000e+00,1.817722432904391450e-01
0.000000000000000000e+00,1.841091774668159042e-01
0.000000000000000000e+00,1.798321347762265876e-01
0.000000000000000000e+00,1.961539750378962221e-01
0.000000000000000000e+00,1.893796774552805318e-01
0.000000000000000000e+00,1.736277362012738079e-01
0.000000000000000000e+00,9.730919683130101472e-02
0.000000000000000000e+00,1.943606618269689834e-01
0.000000000000000000e+00,1.615401071209628392e-01
1.000000000000000000e+00,4.029916674453004055e-01
0.000000000000000000e+00,7.285653657854289367e-02
0.000000000000000000e+00,2.330239887430569923e-01
0.000000000000000000e+00,2.029672957263543298e-01
0.000000000000000000e+00,2.693786783651315742e-01
0.000000000000000000e+00,1.830473085726116445e-01
0.000000000000000000e+00,1.824707966950221416e-01
0.000000000000000000e+00,1.977525814735026366e-01
1.000000000000000000e+00,3.139590651740343241e-01
1.000000000000000000e+00,3.292894697756414413e-01
0.000000000000000000e+00,1.698953602969326682e-01
0.000000000000000000e+00,2.879193992675502245e-01
0.000000000000000000e+00,1.757975248648549205e-01
0.000000000000000000e+00,1.897317119866598623e-01
0.000000000000000000e+00,1.101486166382325549e-01
0.000000000000000000e+00,9.733377124497025190e-02
0.000000000000000000e+00,1.738555215846244173e-01
0.000000000000000000e+00,1.974116974683958747e-01
0.000000000000000000e+00,1.517230768277534059e-01
1.000000000000000000e+00,2.780815632154670092e-01
0.000000000000000000e+00,1.651143376685016428e-01
1.000000000000000000e+00,4.439959668012349314e-01
0.000000000000000000e+00,1.782537401425030588e-01
0.000000000000000000e+00,2.115321315202926544e-01
0.000000000000000000e+00,2.323717616498807148e-01
1.000000000000000000e+00,9.828313807398705304e-01
0.000000000000000000e+00,1.805524949670585799e-01
0.000000000000000000e+00,4.677958748996126070e-01
0.000000000000000000e+00,1.144280988642650682e-01
0.000000000000000000e+00,1.834766553093117314e-01
1.000000000000000000e+00,4.373034012216602817e-01
0.000000000000000000e+00,1.906890846700386166e-01
0.000000000000000000e+00,2.610391137415217222e-01
1.000000000000000000e+00,5.453254375780338670e-01
0.000000000000000000e+00,4.602731017181249662e-01
0.000000000000000000e+00,1.699008744879620669e-01
1.000000000000000000e+00,1.883057488884557207e-01
1.000000000000000000e+00,4.765511241758797478e-01
0.000000000000000000e+00,1.942643676708995237e-01
1.000000000000000000e+00,6.256086286700210941e-01
1.000000000000000000e+00,1.636146912656925301e-01
0.000000000000000000e+00,3.191603580159462217e-01
0.000000000000000000e+00,5.361585619534250391e-01
0.000000000000000000e+00,1.845240028645806496e-01
1.000000000000000000e+00,3.500611310747787086e-01
0.000000000000000000e+00,1.854095468627835475e-01
