male,oof_probability
0.000000000000000000e+00,1.416424654320123933e-01
0.000000000000000000e+00,1.086288834974751955e-01
0.000000000000000000e+00,1.460276773319139909e-01
0.000000000000000000e+00,1.424479834804597556e-01
0.000000000000000000e+00,1.506081457643450028e-01
1.000000000000000000e+00,8.578673854675864519e-01
1.000000000000000000e+00,8.589981525556387165e-01
0.000000000000000000e+00,1.202691314383909499e-01
0.000000000000000000e+00,1.071597622913743192e-01
1.000000000000000000e+00,8.520439470650402747e-01
1.000000000000000000e+00,8.555142190764215560e-01
1.000000000000000000e+00,8.550627680495911376e-01
0.000000000000000000e+00,1.051980631226598489e-01
1.000000000000000000e+00,8.536819081890288929e-01
0.000000000000000000e+00,1.332669778726479348e-01
0.000000000000000000e+00,1.013274742959679869e-01
0.000000000000000000e+00,1.261853206647772785e-01
1.000000000000000000e+00,8.533116044105480968e-01
0.000000000000000000e+00,8.281029204864479021e-02
0.000000000000000000e+00,1.390992074189723871e-01
1.000000000000000000e+00,8.535384387121567329e-01
1.000000000000000000e+00,8.536148272337814591e-01
0.000000000000000000e+00,1.150222507786340387e-01
0.000000000000000000e+00,8.543382265387833296e-02
1.000000000000000000e+00,8.474312881058189140e-01
0.000000000000000000e+00,9.657195211706326443e-02
0.000000000000000000e+00,8.206173474991210193e-02
1.000000000000000000e+00,8.585165807165586749e-01
0.000000000000000000e+00,1.323095611666135485e-01
1.000000000000000000e+00,8.578301467054113560e-01
0.000000000000000000e+00,9.904126614536094830e-02
0.000000000000000000e+00,8.621551393870277580e-02
0.000000000000000000e+00,1.001290328296543658e-01
0.000000000000000000e+00,9.457335296270769076e-02
1.000000000000000000e+00,8.575825229782079173e-01
1.000000000000000000e+00,8.537300787233716992e-01
0.000000000000000000e+00,1.652004020189834221e-01
0.000000000000000000e+00,1.395649497361678704e-01
0.000000000000000000e+00,1.093856381877201106e-01
0.000000000000000000e+00,1.448365603612206121e-01
1.000000000000000000e+00,8.548876920730009710e-01
1.000000000000000000e+00,8.548862880196584912e-01
0.000000000000000000e+00,9.214694183508735648e-02
0.000000000000000000e+00,2.746442460538965347e-01
1.000000000000000000e+00,8.576011652470337809e-01
0.000000000000000000e+00,9.768076628989376398e-02
1.000000000000000000e+00,8.553940378801356825e-01
0.000000000000000000e+00,9.611775562011654062e-02
0.000000000000000000e+00,1.371030821666163191e-01
0.000000000000000000e+00,8.958006947348580440e-02
1.000000000000000000e+00,8.565867887477923714e-01
1.000000000000000000e+00,8.557573405573426495e-01
1.000000000000000000e+00,8.550125547217505284e-01
0.000000000000000000e+00,1.503208621270936962e-01
0.000000000000000000e+00,1.085323765314498423e-01
1.000000000000000000e+00,8.611320752144925317e-01
1.000000000000000000e+00,8.544876396528299223e-01
