keap1_mutant,oof_probability
0.000000000000000000e+00,2.007198911550264753e-01
0.000000000000000000e+00,1.944598853642236225e-01
0.000000000000000000e+00,1.806905784978957430e-01
0.000000000000000000e+00,1.791221554335314659e-01
1.000000000000000000e+00,3.701766670739767284e-01
0.000000000000000000e+00,1.255340014871779708e-01
0.000000000000000000e+00,1.779159919057413108e-01
0.000000000000000000e+00,2.126987523706247163e-01
0.000000000000000000e+00,1.778888425607977053e-01
0.000000000000000000e+00,2.735515808284834649e-01
1.000000000000000000e+00,4.515660575891321526e-01
0.000000000000000000e+00,4.473148323742647814e-01
0.000000000000000000e+00,1.776030537803940101e-01
0.000000000000000000e+00,1.772823851184184840e-01
0.000000000000000000e+00,1.849899739590964987e-01
0.000000000000000000e+00,1.739086409723237525e-01
1.000000000000000000e+00,6.339533487299049419e-01
0.000000000000000000e+00,1.035541804346881006e-01
0.000000000000000000e+00,1.843453920119382805e-01
0.000000000000000000e+00,1.188792802607444438e-01
0.000000000000000000e+00,1.916809852349361520e-01
1.000000000000000000e+00,2.351333433005611817e-01
0.000000000000000000e+00,1.069937750629155471e-01
0.000000000000000000e+00,1.854375421518627831e-01
1.000000000000000000e+00,3.633650078600255684e-01
0.000000000000000000e+00,1.902137614325868642e-01
0.000000000000000000e+00,1.851784127340341812e-01
0.000000000000000000e+00,1.697573595838869354e-01
